English,Russian
Choose,выбрать
Christianity,христианство
Church,церковь
Circuit,контур
Circle,круг
Citizen,гражданин
City,город
Civil,гражданский
Clamp,зацепка
Class,класс
Classification,категоризация
Clean,чистый
Clear,ясный
Clerk,кассир
Click,нажать
Client,клиент
Climate,климат
Clock,часы
Close,закрытый
Closure,замыкание
Club,клуб
Cluster,скопление
Coach,тренер
Coalition,коалиция
Coast,берег
Cockpit,компьютерная задняя часть
Code,код
Coding,кодирование
Coffee,кафе
Cold,холодный
Collapse,крушение
Collage,коллаж
Collective,коллективный
College,колледж
Column,столбец
Combination,комбинация
Come,пойти
Comedy,юмор
Commitment,завещание
Common,общий
Communication,связь
Community,сообщество
Company,компания
Compare,сравнить
Comparison,сравнение
Compete,конкурировать
Completion,полное
Complexity,сложность
Compliance,подчинение
Component,компонент
Composition,композиция
Concentration,осмысление
Concept,концепция
Concern,забота
Conclude,заключать
Conclusion,заключение
Concrete,конкретный
Condition,состояние
Conference,конференция
Confidence,доверие
Conflict,конфликт
Connect,соединять
Connection,соединение
Consensus,общий множитель
Consequence,последствие
Consideration,прочтение
Consistency,справедливость
Constant,непрерывный
Constraint,ограничение
Construction,строение
Consultant,консультант
Contact,связь
Contain,содержать
Content,содержание
Context,контекст
Continue,продолжить
Contract,договор
Contrast,отличаться
Control,контроль
Convenience,удобство
Converse,общаться
Conversion,перевод
Convert,преобразовать
Cook,готовить
Cookie,куки
Coordinate,координировать
Cooperation,сотрудничество
Coparticipate,участвовать
Copy,копия
Copyright,авторское право
Core,центральная часть
Corner,угол
Corporation,корпорация
Correct,правильный
Correction,исправление
Correlation,корреляция
Cosmic,космический
Cost,стоимость
Couch,диван
Couple,супруги
Course,курс
Court,зал суда
Cover,крыть
Coworker,сотрудник
Craft,ремесло
Crash,авария
Create,создать
Creation,создание
Creative,творческий
Credit,кредит
Critic,критик
Criticism,критика
Crop,выращивание
Cross,перекресток
Cross-cultural,многонациональный
Crowd,масса
Crunch,резать
Crystal,кристалл
Culture,культура
Currency,валюта
Current,текущий
Curriculum,курс
Customs,обряды
Cut,отрезать
Customer,клиент
Cycle,цикл
Dance,танцевать
Danger,опасность
Darkness,тьма
Data,данные
Dating,заключение отношений
Daughter,дочь
Daycare,детский сад
Days,дни
Dead,мертвый
Deaf,слепой
Death,смерть
Decade,десятилетие
Decision,решение
Declare,объявлять
Decoration,украшение
Declaration,заявление
Deep,глубокий
Defense,защита
Degree,степень
Delay,задержка
Delight,радость
Delivery,доставка
Demand,требование
Dental,зубы
Dependent,зависимый
Depth,глубина
Description,описание
Design,проект
Desk,стол
Destroy,разрушать
Detain,задерживать
Development,развитие
Device,аппарат
Diagonal,диагональный
Diet,пища
Difference,отличие
Digital,цифровой
Dilemma,двусмысленность
Diminish,уменьшить
Direct,прямой
Direction,направление
Disability,инвалидность
Disaster,катастрофа
Discipline,дисциплина
Discovery,открытие
Disguise,скрыться
Disgust,отвращение
Disorder,хотя бы
Discount,скидка
Disconnect,разъединить
Disentanglement,расстыковаться
Dishonourable,неуважительный
Disk,диск
Distance,расстояние
Disturbance,нарушение
District,район
Distribution,распределение
Divide,делить
Division,разделение
Doctor,врач
Dog,собака
Dollar,доллар
Domain,область
Door,дверь
Dosage,лекарственное средство
Dot,точка
Double,двойной
Doubling,двукратное
Draft,черновик
Draw,рисовать
Dream,мечта
Drift,плавать
Drink,пить
Drive,водить машину
Drop,опадать
Drug,лекарство
Dual,двойственный
Dull,тусклый
Duration,продолжительность
Dust,пыльца
Dutch,нідерландский
Duty,обязанность
Dwelling,жилище
Dynamic,динамичный
Eager,живой
Early,ранний
Earth,земля
Easy,легкий
Eat,есть
Edge,края
Edit,редактировать
Effect,эффект
Effort,усилие
Either,либо
Elderly,старик
Element,элемент
Elephant,слон
Elevate,поднять
Elf,эльф
Ellipsis,ellipsis
Emerald,зеленый камень
Emigrate,мигрировать
Emotion,эмоция
Empty,пустой
Enable,включить
Encounter,инцидент
End,конец
Energy,энергия
English,английский язык
Enlist,подписать
Enter,вход
Envelope,конверт
Environment,окружение
Environmental,окружающий
Epicurean,эпикюрей
Equation,уравнение
Equality,равенство
Equipment,оборудование
Error,ошибка
Escape,убежать
Essence,суть
Establishment,утверждение
Evening,вечер
Evidence,доказательства
Evil,злое
Examine,изучать
Example,пример
Excavate,выкапывать
Exchange,обмен
Excitement,волнение
Exercise,физическое тренировочное занятие
Existence,существо
Expectation,ожидание
Experience,опыт
Expert,специалист
Explanation,объяснение
Exploit,использовать
Explode,вырвать
Exposure,открытие
Expression,выражение
External,внешний
Extract,вытягивать
Face,лицо
Facilitate,facilitate
Factual,фактический
Fade,уменьшить
Fail,неудача
Failure,неудача
Fairness,справедливость
Faithful,верный
Fall,падение
Falsehood,ложь
Family,семья
Fan,балка
Fang,зуб
Fantastic,фантастический
Farmer,фермер
Fast,быстрый
Father,отец
Faulty,худший
Fear,страшилка
Feature,особенность
Feed,кормить
Feeling,чувство
Female,женский
Fence,ограда
Ferry,паром
Fetch,вытягивать
Field,поле
Fight,бороться
Figure,фигура
Filial,родовой
Film,кинофильм
Final,окончательный
Find,найти
Finish,закончить
Fire,огонь
Firm,стабильный
First,первый
Fish,рыба
Fit,подходить
Flag,флаг
Flame,огонь
Flash,светить
Flat,ровный
Flexibility,гибкость
Flight,полет
Flower,цветок
Flush,откачать
Fly,лететь
Focus,направлять
Fold,складывать
Follow,следовать
Food,еда
Foot,стопа
Footprint,печать стопы
Forced,强уд
Forceful,силеный
Forehead,лоб
Foreign,иностранный
Forget,забыть
Forever,навсегда
Form,форма
Format,формат
Former,бывший
Forthcoming,будущий
Fortunate,фортунный
Forward,напереди
Found,найдено
Fragrance,аромат
Frame,рамка
France,Франция
Frank,откровенный
Fresh,свежий
Friendship,другие
From,из
Frontier,граница
Full,полный
Function,функция
Fundamental,основной
Funny,забавный
Further,более
Future,будущее
Game,игра
Gather,собирать
Gene,ген
General,общий
Generous,скромный
Genre,жанр
Geography,география
Geological,геологический
Geometry,геометрия
Gesture,гест
Ghost,дух
Gift,подарок
Give,дать
Glad,радостный
Glass,стекло
Glue,лаки
Glow,светить
Goal,цель
Goat,коза
God,Бог
Gold,золото
Goodbye,прощание
Goods,товары
Government,правительство
Grab,хватать
Grain,зерно
Grammar,грамматика
Grand,великий
Grandfather,дедушка
Grandmother,бабушка
Graphic,графический
Graphite,графит
Grass,трава
Gratitude,одарение
Gravity,тяжесть
Great,великий
Green,зеленый
Ground,земля
Growth,рост
Guess,угадать
Guide,руководство
Guilty,виновный
Gun,пушка
Gust,ветер
Habitat,место обитания
Hack,хакерство
Hair,волосы
Half,полу
Hall,зал
Hand,рука
Hands-free,без рук
Happy,счастливый
Hard,твердый
Harmony,гармония
Hashtag,хэш-тег
Haunted,оккупирующийся призраками
Haystack,солома
Head,голова
Heal,лечить
Health,здоровье
Heart,сердце
Heavy,тяжелый
Height,высота
Helmet,шлем
Help,помогать
Hemisphere,полушарие
Heritage,наследство
Hero,герой
Hidden,скрытый
High,высокий
History,история
Holiday,праздник
Holistic,целостный
Home,дом
Homework,домашнее задание
Honesty,честность
Hook,замок
Horizon,облако
Hospital,больница
Host,хозяин
Hot,горячий
Household,домашний
Hoverboard,hoverboard
Humanity,люди
Humor,юмор
Hunger,голод
Hurricane,ураган
Hybrid,гибрид
Hyperbole,перегиб
Hypnotic,гипнотический
Idea,идея
Identity,идентичность
If,если
Illusion,иллюзия
Imagery,изображение
Image,изображение
Imagination,воображение
Immigration,иммиграция
Impression,впечатление
Incredible,необычайный
Increase,увеличить
Independence,независимость
Index,индекс
Indirect,не прямой
Individual,личность
Industrial,промышленный
Industry,промышленность
Infancy,детство
Infatuation,обожание
Infinite,бесконечный
Information,информация
Infrastructure,инфраструктура
Initial,начальный
Initiative,инициатива
Input,ввод
Innovation,новация
Inspiration,настойчивость
Instruction,инструкция
Instrument,инструмент
Insurance,обеспечение
Integrate,сбалансировать
Intelligence,разумность
Intensity,тепло
Intent,цель
Interaction,общение
Interest,занятость
Internal,внутренний
International,международный
Internet,Интернет
Interview,интервью
Invention,изобретение
Investigation,исследование
Invitation,приглашение
Irony,ирония
Island,остров
Issue,вопрос
Itinerary,расписание
Jargon,технический язык
Journey,путешествие
Joy,радость
Judge,судья
Jump,прыгать
Justice,справедливость
Keep,сохранить
Key,ключ
Kindness,добротность
Kitchen,кухня
Knowledge,знание
Labyrinth,лабиринт
Lady,леди
Lake,озеро
Language,язык
Laugh,смеяться
Law,закон
Leader,лидер
League,лига
Learn,изучать
Legacy,наследие
Length,длина
Lens,объектив
Letter,письмо
Level,уровень
Leverage,применение силы
Library,библиотека
Life,жизнь
Light,свет
Like,нравится
Limit,ограничение
Line,строка
Link,связь
List,список
Listen,слышать
Literature,литература
Little,маленький
Live,живой
Liveliness,жизнь
Load,загрузка
Local,местный
Location,местоположение
Lock,замок
Logic,логика
baby,ребенок,122
back,спина,123
background,фон,124
bad,плохой,125
bag,рюкзак,126
ball,мяч,127
ban,запретить,128
band,группа,129
bank,банк,130
bar,столик,131
bare,голый,132
base,основание,133
based,на основе,134
basis,основание,135
basic,базовый,136
basically,в общем-то,137
basket,корзина,138
bathe,кадить,139
be,быть,140
beam,пучок,141
bear,носить,142
beat,наносить,143
because,потому что,144
become,становиться,145
been,была,146
before,до,147
begin,начинать,148
being,быть,149
believe,верить,150
beneath,ниже,151
benefit,полезность,152
bequeathed,наследовать,153
best,лучший,154
bet,ставить,155
between,между,156
bias,предвзятость,157
big,большой,158
bike,цикл,159
bill,акт,160
bind,зажимать,161
biological,биологический,162
biology,生物логия,163
bit,кусочек,164
bitter,грубый,165
black,черный,166
blade,пилка,167
blanket,ковер,168
blast,взрыв,169
bleed,кровоточить,170
blend,смешивать,171
block,блокировать,172
blood,кровь,173
blow,дуть,174
blue,синий,175
board,конференция,176
boast,хвастаться,177
bogus,фальшивый,178
bond,замок,179
bone,кость,180
boost,повышать,181
border,граница,182
both,и,183
boundaries,границы,184
bow,представление,185
box,коробка,186
boy,ребенок,187
bracket,рамка,188
brain,мозг,189
branch,ветвь,190
brand,бренд,191
break,сломать,192
breast,сосок,193
brief,краткий,194
bright,яркий,195
brilliant,прекрасный,196
broadly,широко,197
broken,ломанный,198
brother,брат,199
brought,привести,200
bubble,бубен,201
bucket,корзина,202
buffet,буфет,203
build,строить,204
built,строенный,205
bull,бык,206
bully,сила,207
bundle,связать,208
burn,жечь,209
business,дело,210
bush,кустарник,211
but,но,212
buy,покупать,213
by,у,214
cabinet,шкаф,215
cache,хранить,216
cadet,кадет,217
calculator,калькулятор,218
call,звать,219
called,назначенный,220
camera,аппарат,221
can,можно,222
cancel,отменить,223
cancer,рак,224
candidate,кандидат,225
canvas,канва,226
capital,капитал,227
capable,способный,228
capacity,вместимость,229
capture,ловить,230
care,забота,231
career,карьера,232
carry,носить,233
carrying,несение,234
case,случай,235
cash,наличные,236
cast,отправлять,237
catch,ловить,238
category,категория,239
cattle,скот,240
cause,причина,241
caution,осторожность,242
cease,закончить,243
celebrate,праздновать,244
cell,ячейка,245
century,век,246
chain,цепь,247
chair,стол,248
challenge,вызов,249
chance,шанс,250
change,менять,251
chapter,глава,252
character,характер,253
charge,заряд,254
charged,нарученный,255
charity,благотворительность,256
chart,диаграмма,257
chase,огонек,258
chat,обсуждение,259
check,проверить,260
chemical,химический,261
chemistry,химия,262
chest,грудь,263
chief,начальник,264
child,ребенок,265
children,детей,266
chill,холодный,267
choice,выбор,268
choose,выбирать,269
chronic,хронический,270
church,церковь,271
circle,круг,272
circumstances,обстоятельства,273
citizen,гражданин,274
civilization,цивилизация,275
claim,заявлять,276
clam,моллюск,277
clan,клан,278
class,класс,279
classic,классический,280
clean,чистый,281
clear,ясный,282
climate,погода,283
clock,часы,284
close,закрывать,285
closely,близко,286
clothing,одежда,287
clouds,облака,288
clue,связь,289
cluster,кластер,290
coalition,коалиция,291
coast,берег,292
coat,палка,293
coffee,кофе,294
coin,монета,295
cold,холодный,296
collapse,разрушить,297
collection,сбор,298
college,колледж,299
color,цвет,300
column,столбец,301
combine,слияние,302
come,приходить,303
comedy,комедия,304
commit,заключать,305
comfort,удовольствие,306
coming,приходящий,307
common,общий,308
company,компания,309
compare,сравнивать,310
compete,конкурентить,311
complain,жаловаться,312
complex,сложный,313
composition,составление,314
concentrate,сосредоточивать,315
concession,сомнение,316
concrete,каменный,317
conduct,вести,318
condition,условие,319
conflict,конфликт,320
conference,конференция,321
confirm,подтверждать,322
confusion,замешательство,323
connect,связывать,324
connection,соединение,325
conscience,сознание,326
conscious,сознающий,327
consent,допускать,328
consider,считать,329
consistency,постоянство,330
constant,неизменный,331
constituency,конституция,332
construct,строить,333
consult,консультировать,334
consumer,потребитель,335
contact,контакт,336
contain,содержать,337
container,сосуд,338
contents,содержание,339
context,контекст,340
continue,продолжаться,341
contrast,отличие,342
control,контроль,343
contribute,поддерживать,344
conversation,обсуждение,345
convert,переводить,346
convey,передавать,347
cook,приготовлять,348
cooking,приготовление,349
cool,холодный,350
cope,способность,351
copy,копия,352
core,центр,353
corner,угол,354
correspondence,соответствие,355
cost,стоимость,356
cotton,вата,357
cough,чихать,358
could,мог,359
counselor,советник,360
count,считать,361
counter,противоположный,362
country,страна,363
couple,двое,364
course,курс,365
court,зал,366
cover,крыть,367
cow,корова,368
crack,расслоение,369
craft,ремесло,370
cram,наживать,371
crash,авария,372
creation,создание,373
creative,творческий,374
credit,кредит,375
crew,экипаж,376
crime,закон,377
criminal,заключенный,378
crisis,кризис,379
criticize,критиковать,380
cross,пересекать,381
crowd,масса,382
cry,плач,383
crystal,алмаз,384
cube,куб,385
culture,культура,386
currency,валюта,387
curtain,к занавешивание,388
current,текущий,389
cut,резать,390
cycle,цикл,391
dairy,молоко,392
dance,танцевать,393
dangerous,опасный,394
dark,тьма,395
date,дата,396
daughter,дочь,397
day,день,398
dead,мертвый,399
deal,дело,400
dear,дорогой,401
death,смерть,402
debate,дискуссия,403
debt,долг,404
decade,десятилетие,405
decay,разрушаться,406
declare,заявлять,407
decision,решение,408
decline,падение,409
dedicate,посвящать,410
defeat,поражение,411
define,определять,412
defense,оборона,413
defend,защищать,414
delay,задерживать,415
delegate,делегировать,416
deliberate,размышлять,417
delivery,доставка,418
demand,требовать,419
democracy,демократия,420
demolish,разрушить,421
deny,отменять,422
department,отделение,423
dependent,зависимый,424
describe,описывать,425
description,описание,426
desire,желание,427
destroy,уничтожать,428
detail,деталь,429
determine,определять,430
develop,развивать,431
development,развитие,432
devote,отдавать,433
device,аппарат,434
diagnosis,диагноз,435
dictionary,словарь,436
diet,пища,437
differ,делить,438
difference,разница,439
different,разный,440
difficult,трудный,441
difficulty,трудность,442
digit,цифра,443
digital,цифровой,444
direction,направление,445
discipline,дисциплина,446
discovery,открытие,447
discriminate,дифференцировать,448
discussion,обсуждение,449
disease,болезнь,450
dish,тарелка,451
dismiss,отстранять,452
display,показывать,453
dissolve,растворить,454
distance,расстояние,455
distraction,развлечение,456
district,округ,457
dive,нырять,458
divide,делить,459
divine,божественный,460
divorce,развод,461
do,делать,462
doctor,доктор,463
document,документ,464
dog,собака,465
doing,делать,466
dollar,доллар,467
domain,домен,468
donate,донатить,469
door,дверь,470
dose,порция,471
dot,точка,472
double,двойной,473
down,низкий,474
download,скачать,475
draft,проект,476
drag,тянуть,477
draw,рисовать,478
dream,мечта,479
drive,водить,480
drowning,тонуть,481
drug,наркотик,482
dry,сухой,483
due,заключенный,484
dump,отбросить,485
dust,пыль,486
each,каждый,487
earn,зарабатывать,488
earth,земля,489
easily,лёгкий,490
eat,есть,491
economic,экономический,492
edge,края,493
education,образование,494
effect,влияние,495
effort,усилие,496
egg,яичко,497
eight,восемь,498
either,либо,499
elderly,старик,500
elevator,эскалатор,501
elicit,вызывать,502
electronic,электронный,503
elementary,основной,504
ellipse,круг,505
emergency,авария,506
eminent,известный,507
emotional,эмоциональный,508
employer,работодатель,509
employee,сотрудник,510
encourage,поощрять,511
encyclopedia,энциклопедия,512
endeavor,пытаться,513
endorse,поддерживать,514
endure,терпеть,515
enemy,враг,516
energy,энергия,517
engagement,соглашение,518
engage,участвовать,519
enjoy,наслаждать,520
enter,входить,521
entertain,развлекать,522
environment,окружающая среда,523
epidemic,эпидемия,524
episode,событие,525
equal,равный,526
equation,уравнение,527
equipment,аппаратура,528
era,эра,529
errand,дело,530
error,ошибка,531
escape,убегать,532
esoteric,мистический,533
essential,необходимый,534
evaluate,оценивать,535
evening,вечер,536
event,событие,537
everlasting,бессмертный,538
evidence,доказательство,539
evil,плохой,540
examine,анализировать,541
example,пример,542
excavate,выкапывать,543
exchange,обмен,544
excuse,извинить,545
exercise,физическая подготовка,546
exist,существовать,547
exit,выход,548
expectation,ожидание,549
expense,расходы,550
expenditure,расходы,551
explain,объяснять,552
explanation,описание,553
explore,исследовать,554
export,экспортировать,555
expose,подвергнуть,556
extend,расширять,557
external,наружный,558
extract,выделять,559
extraordinary,чудесный,560
eye,глаз,561
face,лицо,562
factory,фабрика,563
fairy,фея,564
fall,падение,565
family,семья,566
fan,баллон,567
fantasy,мифология,568
farm,ферма,569
fashion,модель,570
fast,быстрый,571
father,отец,572
fatigue,усталость,573
faulty,ошибка,574
favorite,любимый,575
fearless,бесстрашный,576
feast,праздник,577
feature,характеристика,578
feedback,возврат,579
feel,чувствовать,580
female,женский,581
ferment,вызывать,582
fewer,меньше,583
fibre,волокно,584
fiction,фантастика,585
fight,бороться,586
figure,образ,587
file,счёт,588
fill,заполнять,589
film,кино,590
filter,фильтр,591
final,окончательный,592
find,находить,593
fine,тонкий,594
finish,завершить,595
fingerprint,печать пальцев,596
fire,огонь,597
firm,фирма,598
first,первый,599
fish,рыба,600
fitness,спорт,601
flesh,мясо,602
flexible,гибкий,603
flight,полёт,604
float,плавать,605
flood,наводнение,606
flower,цветок,607
fluency,языковая способность,608
fly,лететь,609
focus,фокус,610
follow,следовать,611
food,пища,612
foot,нога,613
forbid,запрещать,614
force,силу,615
foreign,иностранный,616
forgive,прощать,617
formal,формальный,618
format,формат,619
fornicate,нарушить,620
fortunate,удачный,621
fortress,форт,622
forward,вперёд,623
found,найден,624
fourth,четвертый,625
fox,лиса,626
frail,слабый,627
frame,рамка,628
fraction,доля,629
fragment,часть,630
free,свободный,631
freedom,свобода,632
freeze,замерзать,633
frenzy,буйство,634
frequency,частота,635
fresh,сытый,636
friend,друг,637
friendly,дружелюбный,638
frighten,страшить,639
frivolous,лёгкий,640
from,из,641
front,перед,642
frost,лед,643
fruit,фрукты,644
fuel,топливо,645
full,полный,646
function,функция,647
fundamental,основной,648
funeral,похороны,649
funny,комичный,650
furniture,мебель,651
furrow,рыжий,652
future,будущее,653
gain,прибыль,654
gallant,добродушный,655
galvanize,запускать,656
game,игра,657
gang,клан,658
gap,прокол,659
garb,одежда,660
gather,собираться,661
gaze,смотреть,662
general,общий,663
generate,создавать,664
genesis,начало,665
gentleman,джентльмен,666
genre,жанр,667
germ,герм,668
gestate,находиться,669
ghostly,призрачный,670
gift,подарок,671
giggle,смеяться,672
girl,девушка,673
give,давать,674
glacier,ледник,675
glass,стекло,676
glide,лететь,677
glitter,блестить,678
global,глобальный,679
gloom,туманность,680
glory,слава,681
go,ходить,682
goal,цель,683
god,бог,684
gold,золото,685
good,хороший,686
goods,товары,687
gorgeous,красивый,688
governance,управление,689
graceful,подвижный,690
gradual,поэтапный,691
grade,оценка,692
graduate,окончить,693
graft,нарезать,694
grammar,грамматика,695
grandfather,дед,696
grape,виноград,697
grass,трава,698
gravity,тяжестность,699
great,великий,700
greed,зависть,701
green,зелёный,702
grief,боль,703
grey,серый,704
grid,сетка,705
grievous,тяжёлый,706
groan,грустить,707
ground,земля,708
group,группа,709
guard,охранять,710
guess,подумать,711
guidance,направление,712
guilt,сознавание,713
gullible,доверчивый,714
gunpowder,порох,715
gust,ветер,716
habit,поведение,717
haircut,стрижка,718
halfway,полпути,719
hallmark,знак,720
hate,ненависть,721
heal,излечивать,722
heap,навал,723
hear,слышать,724
heart,сердце,725
heat,жар,726
heavy,тяжёлый,727
heed,слушать,728
height,высота,729
helpless,безнадёжный,730
hereafter,после,731
hesitant,застенчивый,732
hide,скрывать,733
