Word,Translation,Rank
buffet,буфет,203
build,строить,204
built,строенный,205
bull,бык,206
bully,сила,207
bundle,связать,208
burn,жечь,209
business,дело,210
bush,кустарник,211
but,но,212
buy,покупать,213
by,у,214
cabinet,шкаф,215
cache,хранить,216
cadet,кадет,217
calculator,калькулятор,218
call,звать,219
called,назначенный,220
camera,аппарат,221
can,можно,222
cancel,отменить,223
cancer,рак,224
candidate,кандидат,225
canvas,канва,226
capital,капитал,227
capable,способный,228
capacity,вместимость,229
capture,ловить,230
care,забота,231
career,карьера,232
carry,носить,233
carrying,несение,234
case,случай,235
cash,наличные,236
cast,отправлять,237
catch,ловить,238
category,категория,239
cattle,скот,240
cause,причина,241
caution,осторожность,242
cease,закончить,243
celebrate,праздновать,244
cell,ячейка,245
century,век,246
chain,цепь,247
chair,стол,248
challenge,вызов,249
chance,шанс,250
change,менять,251
chapter,глава,252
character,характер,253
charge,заряд,254
charged,нарученный,255
charity,благотворительность,256
chart,диаграмма,257
chase,огонек,258
chat,обсуждение,259
check,проверить,260
chemical,химический,261
chemistry,химия,262
chest,грудь,263
chief,начальник,264
child,ребенок,265
children,детей,266
chill,холодный,267
choice,выбор,268
choose,выбирать,269
chronic,хронический,270
church,церковь,271
circle,круг,272
circumstances,обстоятельства,273
citizen,гражданин,274
civilization,цивилизация,275
claim,заявлять,276
clam,моллюск,277
clan,клан,278
class,класс,279
classic,классический,280
clean,чистый,281
clear,ясный,282
climate,погода,283
clock,часы,284
close,закрывать,285
closely,близко,286
clothing,одежда,287
clouds,облака,288
clue,связь,289
cluster,кластер,290
coalition,коалиция,291
coast,берег,292
coat,палка,293
coffee,кофе,294
coin,монета,295
cold,холодный,296
collapse,разрушить,297
collection,сбор,298
college,колледж,299
color,цвет,300
column,столбец,301
combine,слияние,302
come,приходить,303
comedy,комедия,304
commit,заключать,305
comfort,удовольствие,306
coming,приходящий,307
common,общий,308
company,компания,309
compare,сравнивать,310
compete,конкурентить,311
complain,жаловаться,312
complex,сложный,313
composition,составление,314
concentrate,сосредоточивать,315
concession,сомнение,316
concrete,каменный,317
conduct,вести,318
condition,условие,319
conflict,конфликт,320
conference,конференция,321
confirm,подтверждать,322
confusion,замешательство,323
connect,связывать,324
connection,соединение,325
conscience,сознание,326
conscious,сознающий,327
consent,допускать,328
consider,считать,329
consistency,постоянство,330
constant,неизменный,331
constituency,конституция,332
construct,строить,333
consult,консультировать,334
consumer,потребитель,335
contact,контакт,336
contain,содержать,337
container,сосуд,338
contents,содержание,339
context,контекст,340
continue,продолжаться,341
contrast,отличие,342
control,контроль,343
contribute,поддерживать,344
conversation,обсуждение,345
convert,переводить,346
convey,передавать,347
cook,приготовлять,348
cooking,приготовление,349
cool,холодный,350
cope,способность,351
copy,копия,352
core,центр,353
corner,угол,354
correspondence,соответствие,355
cost,стоимость,356
cotton,вата,357
cough,чихать,358
could,мог,359
counselor,советник,360
count,считать,361
counter,противоположный,362
country,страна,363
couple,двое,364
course,курс,365
court,зал,366
cover,крыть,367
cow,корова,368
crack,расслоение,369
craft,ремесло,370
cram,наживать,371
crash,авария,372
creation,создание,373
creative,творческий,374
credit,кредит,375
crew,экипаж,376
crime,закон,377
criminal,заключенный,378
crisis,кризис,379
criticize,критиковать,380
cross,пересекать,381
crowd,масса,382
cry,плач,383
crystal,алмаз,384
cube,куб,385
culture,культура,386
currency,валюта,387
curtain,к занавешивание,388
current,текущий,389
cut,резать,390
cycle,цикл,391
dairy,молоко,392
dance,танцевать,393
dangerous,опасный,394
dark,тьма,395
date,дата,396
daughter,дочь,397
day,день,398
dead,мертвый,399
deal,дело,400
dear,дорогой,401
death,смерть,402
debate,дискуссия,403
debt,долг,404
decade,десятилетие,405
decay,разрушаться,406
declare,заявлять,407
decision,решение,408
decline,падение,409
dedicate,посвящать,410
defeat,поражение,411
define,определять,412
defense,оборона,413
defend,защищать,414
delay,задерживать,415
delegate,делегировать,416
deliberate,размышлять,417
delivery,доставка,418
demand,требовать,419
democracy,демократия,420
demolish,разрушить,421
deny,отменять,422
department,отделение,423
dependent,зависимый,424
describe,описывать,425
description,описание,426
desire,желание,427
destroy,уничтожать,428
detail,деталь,429
determine,определять,430
develop,развивать,431
development,развитие,432
devote,отдавать,433
device,аппарат,434
diagnosis,диагноз,435
dictionary,словарь,436
diet,пища,437
differ,делить,438
difference,разница,439
different,разный,440
difficult,трудный,441
difficulty,трудность,442
digit,цифра,443
digital,цифровой,444
direction,направление,445
discipline,дисциплина,446
discovery,открытие,447
discriminate,дифференцировать,448
discussion,обсуждение,449
disease,болезнь,450
dish,тарелка,451
dismiss,отстранять,452
display,показывать,453
dissolve,растворить,454
distance,расстояние,455
distraction,развлечение,456
district,округ,457
dive,нырять,458
divide,делить,459
divine,божественный,460
divorce,развод,461
do,делать,462
doctor,доктор,463
document,документ,464
dog,собака,465
doing,делать,466
dollar,доллар,467
domain,домен,468
donate,донатить,469
door,дверь,470
dose,порция,471
dot,точка,472
double,двойной,473
down,низкий,474
download,скачать,475
draft,проект,476
drag,тянуть,477
draw,рисовать,478
dream,мечта,479
drive,водить,480
drowning,тонуть,481
drug,наркотик,482
dry,сухой,483
due,заключенный,484
dump,отбросить,485
dust,пыль,486
each,каждый,487
earn,зарабатывать,488
earth,земля,489
easily,лёгкий,490
eat,есть,491
economic,экономический,492
edge,края,493
education,образование,494
effect,влияние,495
effort,усилие,496
egg,яичко,497
eight,восемь,498
either,либо,499
elderly,старик,500
elevator,эскалатор,501
elicit,вызывать,502
electronic,электронный,503
elementary,основной,504
ellipse,круг,505
emergency,авария,506
eminent,известный,507
emotional,эмоциональный,508
employer,работодатель,509
employee,сотрудник,510
encourage,поощрять,511
encyclopedia,энциклопедия,512
endeavor,пытаться,513
endorse,поддерживать,514
endure,терпеть,515
enemy,враг,516
energy,энергия,517
engagement,соглашение,518
engage,участвовать,519
enjoy,наслаждать,520
enter,входить,521
entertain,развлекать,522
environment,окружающая среда,523
epidemic,эпидемия,524
episode,событие,525
equal,равный,526
equation,уравнение,527
equipment,аппаратура,528
era,эра,529
errand,дело,530
error,ошибка,531
escape,убегать,532
esoteric,мистический,533
essential,необходимый,534
evaluate,оценивать,535
evening,вечер,536
event,событие,537
everlasting,бессмертный,538
evidence,доказательство,539
evil,плохой,540
examine,анализировать,541
example,пример,542
excavate,выкапывать,543
exchange,обмен,544
excuse,извинить,545
exercise,физическая подготовка,546
exist,существовать,547
exit,выход,548
expectation,ожидание,549
expense,расходы,550
expenditure,расходы,551
explain,объяснять,552
explanation,описание,553
explore,исследовать,554
export,экспортировать,555
expose,подвергнуть,556
extend,расширять,557
external,наружный,558
extract,выделять,559
extraordinary,чудесный,560
eye,глаз,561
face,лицо,562
factory,фабрика,563
fairy,фея,564
fall,падение,565
family,семья,566
fan,баллон,567
fantasy,мифология,568
farm,ферма,569
fashion,модель,570
fast,быстрый,571
father,отец,572
fatigue,усталость,573
faulty,ошибка,574
favorite,любимый,575
fearless,бесстрашный,576
feast,праздник,577
feature,характеристика,578
feedback,возврат,579
feel,чувствовать,580
female,женский,581
ferment,вызывать,582
fewer,меньше,583
fibre,волокно,584
fiction,фантастика,585
fight,бороться,586
figure,образ,587
file,счёт,588
fill,заполнять,589
film,кино,590
filter,фильтр,591
final,окончательный,592
find,находить,593
fine,тонкий,594
finish,завершить,595
fingerprint,печать пальцев,596
fire,огонь,597
firm,фирма,598
first,первый,599
fish,рыба,600
fitness,спорт,601
flesh,мясо,602
flexible,гибкий,603
flight,полёт,604
float,плавать,605
flood,наводнение,606
flower,цветок,607
fluency,языковая способность,608
fly,лететь,609
focus,фокус,610
follow,следовать,611
food,пища,612
foot,нога,613
forbid,запрещать,614
force,силу,615
foreign,иностранный,616
forgive,прощать,617
formal,формальный,618
format,формат,619
fornicate,нарушить,620
fortunate,удачный,621
fortress,форт,622
forward,вперёд,623
found,найден,624
fourth,четвертый,625
fox,лиса,626
frail,слабый,627
frame,рамка,628
fraction,доля,629
fragment,часть,630
free,свободный,631
freedom,свобода,632
freeze,замерзать,633
frenzy,буйство,634
frequency,частота,635
fresh,сытый,636
friend,друг,637
friendly,дружелюбный,638
frighten,страшить,639
frivolous,лёгкий,640
from,из,641
front,перед,642
frost,лед,643
fruit,фрукты,644
fuel,топливо,645
full,полный,646
function,функция,647
fundamental,основной,648
funeral,похороны,649
funny,комичный,650
furniture,мебель,651
furrow,рыжий,652
future,будущее,653
gain,прибыль,654
gallant,добродушный,655
galvanize,запускать,656
game,игра,657
gang,клан,658
gap,прокол,659
garb,одежда,660
gather,собираться,661
gaze,смотреть,662
general,общий,663
generate,создавать,664
genesis,начало,665
gentleman,джентльмен,666
genre,жанр,667
germ,герм,668
gestate,находиться,669
ghostly,призрачный,670
gift,подарок,671
giggle,смеяться,672
girl,девушка,673
give,давать,674
glacier,ледник,675
glass,стекло,676
glide,лететь,677
glitter,блестить,678
global,глобальный,679
gloom,туманность,680
glory,слава,681
go,ходить,682
goal,цель,683
god,бог,684
gold,золото,685
good,хороший,686
goods,товары,687
gorgeous,красивый,688
governance,управление,689
graceful,подвижный,690
gradual,поэтапный,691
grade,оценка,692
graduate,окончить,693
graft,нарезать,694
grammar,грамматика,695
grandfather,дед,696
grape,виноград,697
grass,трава,698
gravity,тяжестность,699
great,великий,700
greed,зависть,701
green,зелёный,702
grief,боль,703
grey,серый,704
grid,сетка,705
grievous,тяжёлый,706
groan,грустить,707
ground,земля,708
group,группа,709
guard,охранять,710
guess,подумать,711
guidance,направление,712
guilt,сознавание,713
gullible,доверчивый,714
gunpowder,порох,715
gust,ветер,716
habit,поведение,717
haircut,стрижка,718
halfway,полпути,719
hallmark,знак,720
hate,ненависть,721
heal,излечивать,722
heap,навал,723
hear,слышать,724
heart,сердце,725
heat,жар,726
heavy,тяжёлый,727
heed,слушать,728
height,высота,729
helpless,безнадёжный,730
hereafter,после,731
hesitant,застенчивый,732
hide,скрывать,733
highness,высокость,734
hill,горка,735
hinder,мешать,736
hire,наймать,737
hoard,складывать,738
hog,свинья,739
hold,держать,740
hole,дыра,741
holiday,праздник,742
homeless,бездомный,743
homely,уютный,744
honor,честь,745
hook,крючок,746
hoping,надеяться,747
horizon,горизонт,748
horse,лошадь,749
hostile,враждебный,750
hourglass,часовой механизм,751
household,домашний,752
howl,выть,753
hover,лететь,754
humiliation,умилостивление,755
hunger,голод,756
hunt,охотиться,757
hurry,спешить,758
husband,муж,759
hyperbole,перегородка,760
hypnotic,гипнотический,761
iceberg,ледник,762
idea,идея,763
identical,одинаковый,764
identify,выявлять,765
idolize,подражать,766
ignite,зажигать,767
imaginary,мифический,768
imagine,визуализировать,769
immense,огромный,770
importance,важность,771
inadequate,недостаточный,772
inactive,бездейственный,773
incorrect,неправильный,774
increase,увеличение,775
indifference,безразличие,776
individual,индивидуальный,777
infamous,плохой,778
infatuate,влюблять,779
influence,влиять,780
informal,неподготовленный,781
information,информация,782
inheritance,наследство,783
inhumane,нечеловеческий,784
innocent,невиновный,785
input,вводить,786
inquire,спрашивать,787
insanity,безумие,788
insist,нажимать,789
insurance,страхование,790
intact,целостный,791
interact,погружаться,792
intercept,перехватывать,793
interest,интерес,794
intermediate,средний,795
internal,внутренний,796
interpret,толковать,797
interrupt,прерывание,798
intimate,близкий,799
invade,занимать,800
invent,изобретать,801
investigate,исследовать,802
invisible,невидимый,803
invite,предлагать,804
irresistible,неотразимый,805
isolation,одиночество,806
issue,вопрос,807
itchy,скучный,808
itinerary,маршрут,809
jackal,манул,810
jealous,завистливый,811
jerk,переход,812
jittery,беспокойный,813
jobless,безработный,814
joyful,радостный,815
judge,судить,816
jump,скакать,817
justice,справедливость,818
karma,карума,819
keep,держать,820
kill,убивать,821
kind,добрый,822
kinetic,кинетический,823
kiss,целовать,824
knowingly,знающий,825
labour,труд,826
lack,недостаток,827
lamb,овца,828
language,язык,829
laughter,смех,830
lawful,законный,831
layman,неподготовленный,832
lead,вести,833
leak,течь,834
leaf,лист,835
learn,учиться,836
lease,наймать,837
leave,оставлять,838
legitimate,справедливый,839
leisure,время свободное,840
lend,займать,841
lengthy,долгий,842
lessen,уменьшить,843
let,позволять,844
level,уровень,845
liberal,свободный,846
lie,ложь,847
lifeless,безжизненный,848
light,свет,849
like,подобрать,850
limited,ограниченный,851
limp,потерять равновесие,852
lineage,родословная,853
linger,остаться,854
lion's share,золотая горка,855
liquidate,ликвидировать,856
list,список,857
listen,слушать,858
little,маленький,859
lively,живой,860
loan,займ,861
local,местный,862
loftily,величаво,863
logarithm,логарифм,864
lookout,сторожевой пост,865
loom,бить,866
longevity,долголетие,867
loot,кража,868
lordship,власть,869
lose,потерять,870
loss,потеря,871
lotus,лотос,872
loveless,ненавистный,873
lucky,удачливый,874
lumber,лесоматериал,875
lunacy,безумие,876
luminous,светящийся,877
lustful,жадный,878
luxurious,шикарный,879
lyre,лира,880
macroscopic,микроскопический,881
magnify,увеличить,882
maintain,поддерживать,883
majority,большинство,884
make,делать,885
malevolent,плохой,886
maneuver,маневр,887
manicure,стрижка ногтей,888
mankind,человечество,889
many,многочисленный,890
maple,ясень,891
marble,мрамор,892
margin,промежуток,893
marriage,брак,894
mask,маска,895
masturbation,телесное удовлетворение,896
materialism,материализм,897
mathematical,математический,898
matrix,сеть,899
maximize,максимизировать,900
mealtime,время приема пищи,901
meanwhile,пока,902
meditate,заниматься медитацией,903
medium,средство,904
meet,встречать,905
melt,таять,906
memorandum,документ,907
memory,память,908
mention,упоминание,909
mental,ментальный,910
mentorship,наставничество,911
merge,слияние,912
messy,холостой,913
metaphysics,метафизика,914
microscope,микроскоп,915
midnight,полночь,916
mighty,великий,917
milk,молоко,918
mindful,сознательный,919
mineral,минерал,920
minority,меньшинство,921
miracle,чудо,922
misery,беда,923
mistake,ошибка,924
mixture,микстура,925
model,модель,926
moderate,средний,927
momentum,момент,928
monk,монах,929
monthly,ежемесячный,930
moonlight,луна,931
moral,нравственный,932
morality,нравственность,933
moreover,кроме того,934
most,наибольший,935
motherhood,материнство,936
motivation,мотивация,937
mountainous,горный,938
mouthwatering,вкусный,939
move,двигаться,940
multiplied,умножать,941
multiplying,размножение,942
muscle,мышца,943
musician,музыкант,944
mysterious,загадочный,945
mythical,легендарный,946
nadir,низшая точка,947
naive,напыщенный,948
naturalism,природничество,949
nature,природа,950
neatly,как обычно,951
needle,игла,952
negative,отрицательный,953
neighborhood,округ,954
necessity,необходимость,955
needless,бесполезный,956
neglect,забывать,957
networking,сетевое взаимодействие,958
newbie,новичок,959
newsflash,объявление о новости,960
nightly,ночью,961
nonchalant,бесхитростный,962
nonverbal,невербальный,963
noontide,полдень,964
nonsense,бессмыслица,965
normality,нормальность,966
notebook,записная книга,967
novelty,новизна,968
nutrient,пища,969
obedience,подчинение,970
objectivity,объективность,971
oblige,обязывать,972
obsess,захватывать,973
obstacle,препятствие,974
obvious,очевидный,975
occupation,работа,976
odyssey,путешествие,977
offender,злоумышленник,978
offer,предложение,979
oftentimes,часто,980
oh-so,очень,981
okayness,удовлетворенность,982
old-fashioned,старомодный,983
omniscient,всезнающий,984
onboard,на борту,985
once-in-a-lifetime,бесценное событие,986
one-to-one,один ко одному,987
online,онлайн,988
open-minded,открытый,989
opinion,мнение,990
oppose,сопротивляться,991
oppressive,тюремный,992
option,выбор,993
ordeal,испытание,994
orderly,организованный,995
ordinary,обычный,996
organization,организация,997
originality,оригинальность,998
origin,источник,999
outcaste,изгнанец,1000
